机场中文名,ICAO
阿姆斯特丹阿姆斯特丹机场,EHAM
奥克兰奥克兰机场,NZAA
澳门澳门机场,VMMC
巴黎巴黎戴高乐机场,LFPG
北京首都国际机场,ZBAA
布达佩斯布达佩斯机场,LHBP
布里斯班布里斯班,YBBN
布鲁塞尔布鲁塞尔机场,EBBR
成都双流国际机场,ZUUU
冲绳冲绳机场,ROAH
大阪关西机场,RJBB
大连周水子机场,ZYTL
德黑兰德黑兰机场,OIII
迪拜迪拜机场,OMDB
底特律底特律机场,KDTW
东京成田机场,RJAA
多哈多哈机场,OTHH
多伦多多伦多机场,CYTZ
法兰克福法兰克福机场,EDDF
符拉迪沃斯托克符拉迪沃斯托克机场,UHWW
福岛福岛机场,RJSF
福冈福冈机场,RJFF
釜山釜山机场,RKPK
冈山冈山机场,RJOB
哥本哈根哥本哈根机场,EKCH
古晋古晋机场,WBGG
广岛广岛机场,RJOA
广州新白云国际机场,ZGGG
哈拉雷哈拉雷机场,FVHA
杭州萧山国际机场,ZSHC
河内河内机场,VVNB
赫尔辛基赫尔辛基机场,EFHK
胡志明市胡志明市机场,VVTS
华盛顿华盛顿杜勒斯机场,KIAD
基辅鲍里斯波尔机场,UKBB
吉隆坡吉隆坡国际机场,WMKK
金边金边机场,VDPP
旧金山旧金山机场,KSFO
卡拉奇卡拉奇机场,OPKC
罗马费尤米西诺机场,LIRF
洛杉矶洛杉矶机场,KLAX
马尼拉马尼拉机场,RPLL
曼谷素旺那普国际机场,VTBS
孟买孟买机场,VABB
米兰米兰马尔彭萨机场,LIMC
名古屋名古屋机场,RJNN
莫斯科谢诺梅杰沃机场,UUEE
墨尔本墨尔本机场,YMML
慕尼黑慕尼黑机场,EDDM
南京禄口国际机场,ZSNJ
宁波栎社机场,ZSNB
纽约Newark纽瓦克机场,KEWR
纽约纽约肯尼迪机场,KJFK
平壤平壤机场,ZKPY
青岛流亭机场,ZSQD
清州清州机场,RKTU
沙迦沙迦机场,OMSJ
厦门高崎国际机场,ZSAM
上海虹桥国际机场,ZSSS
上海浦东国际机场,ZSPD
深圳宝安国际机场,ZGSZ
圣保罗瓜鲁尔霍斯国际机场,SBGR
圣彼得堡圣彼得堡机场,ULLI
首尔金浦机场,RKSS
首尔仁川国际机场,RKSI
斯德哥尔摩斯德哥尔摩机场,ESSA
斯里巴加湾市斯里巴加湾机场,WBSB
松山松山机场,RCSS
塔什干塔什干机场,UTTT
维也纳维也纳机场,LOWW
温哥华温哥华机场,CYVR
乌兰巴托乌兰巴托机场,ZMUB
悉尼悉尼机场,YSSY
仙台仙台机场,RJSS
香港香港机场,VHHH
小松小松机场,RJNK
新加坡樟宜机场,WSSS
新西伯利亚新西伯利亚机场,UNNT
新泻新泻机场,RJSN
雅典雅典机场,LGAV
雅加达雅加达机场,WIII
亚的斯亚贝巴亚的斯亚贝巴机场,HAAB
伊尔库茨克伊尔库茨克机场,UIII
伊斯坦布尔伊斯坦布尔机场,LTFM
约翰内斯堡约翰内斯堡机场,FAOR
长崎长崎机场,RJFU
长沙黄花机场,ZGHA
芝加哥奥利机场,KORD
重庆江北国际机场,ZUCK
